0,1,-68,-31,-
2,2,-69,-30,-
3,4,-69,-29,-
5,5,-70,-28,-
6,7,-70,-27,-
8,8,-70,-26,-
9,9,-71,-25,-
10,10,-71,-24,-
11,11,-71,-23,-
12,12,-72,-22,-
13,13,-72,-21,-
14,14,-72,-20,-
15,15,-73,-18,-
16,16,-73,-17,-
17,17,-73,-16,-
18,18,-74,-15,-
19,19,-74,-14,-
20,20,-74,-12,-
21,21,-74,-11,-
22,22,-74,-10,-
23,23,-74,-9,-
24,24,-75,-8,-
25,26,-75,-7,-
27,27,-75,-4,-
28,28,-75,3,-
29,29,-74,11,-
30,30,-49,2,-
31,32,-49,1,-
33,33,-49,0,-
34,34,-50,-1,-
35,35,-51,-4,-
36,36,-52,-7,-
37,37,-54,-11,-
38,38,-56,-16,-
39,39,-57,-21,-
40,40,-59,-27,-
41,41,-60,-32,-
42,42,-62,-36,-
43,43,-62,-39,-
44,44,-62,-42,-
45,45,-61,-43,-
46,49,-61,-44,-
50,50,-62,-43,-
51,51,-62,-42,-
52,52,-63,-39,-
53,53,-62,-36,-
54,54,-61,-31,-
55,55,-59,-26,-
56,56,-57,-20,-
57,57,-55,-14,-
58,58,-52,-6,-
59,59,-48,4,-
60,60,-42,14,-
61,61,-33,26,-
62,62,-21,37,-
63,63,-6,45,-
64,64,8,51,-
65,65,23,55,-
66,66,-64,7,-
67,67,-59,7,-
68,68,-51,-13,-
69,69,-41,-21,-
70,70,-31,-35,-
71,71,-22,-49,-
72,72,-16,-62,-
73,74,-12,-64,-
75,75,-37,-54,-
76,76,-29,-58,A
77,77,-22,-61,A
78,78,-18,-63,A
79,79,-39,-52,A
80,80,-35,-55,A
81,81,-31,-57,-
82,82,-27,-59,-
83,83,-23,-61,-
84,84,-20,-62,-
85,85,-17,-63,-
86,86,-15,-63,-
87,87,-13,-64,-
88,88,-11,-64,-
89,89,-10,-64,-
90,90,-8,-64,-
91,91,-7,-64,-
92,92,-22,-61,-
93,93,-24,-60,-
94,94,5,-52,-
95,95,6,-55,-
96,96,7,-58,-
97,97,8,-62,-
98,98,9,-64,-
99,99,10,-64,-
100,100,11,-64,-
101,101,-18,62,-
102,103,-17,63,-
104,104,-34,32,-
105,105,-35,30,-
106,106,-37,28,-
107,107,-40,26,-
108,108,-43,24,-
109,109,-45,23,-
110,110,-47,22,-
111,111,-49,21,-
112,112,-53,15,-
113,113,-57,9,-
114,114,-59,4,-
115,115,34,43,-
116,116,31,45,-
117,117,28,47,-
118,121,27,48,-
122,122,26,49,-
123,123,22,47,-
124,124,16,42,-
125,125,9,38,-
126,126,0,33,-
127,128,0,0,-
129,129,-31,4,-
130,130,-34,-6,-
131,131,-35,-13,-
132,132,-35,-19,-
133,133,-34,-25,-
134,134,-30,-31,-
135,138,-26,-35,-
139,139,-24,-35,-
140,140,-21,-36,-
141,141,-17,-37,-
142,142,-11,-37,-
143,143,-4,-38,-
144,144,5,-37,-
145,145,15,-35,-
146,146,25,-31,-
147,147,34,-26,-
148,148,43,-21,-
149,149,51,-16,-
150,150,54,-10,-
151,151,55,-6,-
152,152,55,-2,-
153,153,55,1,-
154,154,55,3,-
155,161,27,17,-
162,162,27,16,-
163,171,27,17,-
172,172,27,18,-
173,173,26,18,-
174,174,25,20,-
175,175,24,21,-
176,176,22,23,-
177,177,20,25,-
178,178,18,26,-
179,179,15,28,-
180,180,13,29,-
181,181,10,30,-
182,182,8,31,-
183,183,7,31,-
184,184,6,31,-
185,185,-26,-35,-
186,186,-25,-35,-
187,187,-23,-36,-
188,188,-20,-36,-
189,189,-16,-37,-
190,190,-11,-38,-
191,191,-3,-38,-
192,192,6,-37,-
193,193,16,-35,-
194,194,25,-31,-
195,195,34,-26,-
196,196,43,-21,-
197,197,51,-16,-
198,198,59,-10,-
199,199,67,-4,-
200,200,75,3,-
201,201,79,10,-
202,202,78,16,-
203,203,78,20,-
204,204,76,25,-
205,205,74,30,-
206,206,73,33,-
207,207,72,35,-
208,208,70,38,-
209,209,70,39,-
210,212,69,40,-
213,213,70,40,-
214,215,70,39,-
216,216,70,38,-
217,217,71,37,-
218,218,71,36,-
219,219,72,35,-
220,220,67,37,-
221,221,59,37,-
222,222,51,36,-
223,223,42,33,-
224,224,34,29,-
225,225,32,31,-
226,226,31,33,-
227,227,31,34,-
228,228,32,35,-
229,229,34,35,-
230,230,35,35,-
231,231,36,36,-
232,233,37,36,-
234,234,36,36,-
235,235,35,35,-
236,236,34,35,-
237,237,32,35,-
238,238,29,35,-
239,239,25,34,-
240,240,21,34,-
241,241,13,32,-
242,243,0,0,-
244,244,-30,9,-
245,245,-35,-5,-
246,246,-39,-15,-
247,247,-43,-24,-
248,248,-47,-31,-
249,249,-52,-39,-
250,250,-59,-40,-
251,251,-64,-44,-
252,252,-65,-47,-
253,253,-62,-50,-
254,260,-62,-51,-
261,264,-61,-51,-
265,266,-61,-52,-
267,267,-65,-47,-
268,268,-68,-43,-
269,269,-70,-39,-
270,270,-68,-42,-
271,271,-70,-38,-
272,272,-72,-35,-
273,273,-74,-31,-
274,274,-75,-28,-
275,275,-76,-26,-
276,276,-74,-30,-
277,277,-75,-27,-
278,278,-76,-25,-
279,279,-74,-30,-
280,280,-72,-34,-
281,281,-70,-38,-
282,282,-68,-42,-
283,283,-71,-38,-
284,284,-72,-34,-
285,285,-70,-38,-
286,286,-72,-35,-
287,287,-74,-32,-
288,288,-72,-36,-
289,289,-73,-33,-
290,290,-71,-37,-
291,291,-73,-33,-
292,292,-71,-37,-
293,293,-72,-34,-
294,294,-70,-38,-
295,295,-72,-35,-
296,296,-70,-39,-
297,297,-72,-35,-
298,298,-70,-39,-
299,299,-72,-36,-
300,300,-69,-40,-
301,301,-67,-43,-
302,302,-65,-46,-
303,303,-63,-50,-
304,304,-60,-53,-
305,316,-58,-55,-
317,318,-58,-56,-
319,325,-57,-56,-
326,334,0,0,-
