0,1,-68,-31,-
2,2,-69,-30,-
3,4,-69,-29,-
5,5,-70,-28,-
6,7,-70,-27,-
8,8,-70,-26,-
9,9,-71,-25,-
10,10,-71,-24,-
11,11,-71,-23,-
12,12,-72,-22,-
13,13,-72,-21,-
14,14,-72,-20,-
15,15,-73,-18,-
16,16,-73,-17,-
17,17,-73,-16,-
18,18,-74,-15,-
19,19,-74,-14,-
20,20,-74,-12,-
21,21,-74,-11,-
22,22,-74,-10,-
23,23,-74,-9,-
24,24,-75,-8,-
25,26,-75,-7,-
27,27,-75,-4,-
28,28,-75,3,-
29,29,-74,11,-
30,30,-49,2,-
31,32,-49,1,-
33,33,-49,0,-
34,34,-50,-1,-
35,35,-51,-4,-
36,36,-52,-7,-
37,37,-54,-11,-
38,38,-56,-16,-
39,39,-57,-21,-
40,40,-59,-27,-
41,41,-60,-32,-
42,42,-62,-36,-
43,43,-62,-39,-
44,44,-62,-42,-
45,45,-61,-43,-
46,49,-61,-44,-
50,50,-62,-43,-
51,51,-62,-42,-
52,52,-63,-39,-
53,53,-62,-36,-
54,54,-61,-31,-
55,55,-59,-26,-
56,56,-57,-20,-
57,57,-55,-14,-
58,58,-52,-6,-
59,59,-48,4,-
60,60,-42,14,-
61,61,-33,26,-
62,62,-21,37,-
63,63,-6,45,-
64,64,8,51,-
65,65,23,55,-
66,66,-64,7,-
67,67,-59,7,-
68,68,-51,-13,-
69,69,-41,-21,-
70,70,-31,-35,-
71,71,-22,-49,-
72,72,-16,-62,-
73,74,-12,-64,-
75,75,-37,-54,-
76,76,-29,-58,A
77,77,-22,-61,A
78,78,-18,-63,A
79,79,-39,-52,A
80,80,-35,-55,A
81,81,-31,-57,-
82,82,-27,-59,-
83,83,-23,-61,-
84,84,-20,-62,-
85,85,-17,-63,-
86,86,-15,-63,-
87,87,-13,-64,-
88,88,-11,-64,-
89,89,-10,-64,-
90,90,-8,-64,-
91,91,-7,-64,-
92,92,-22,-61,-
93,93,-24,-60,-
94,94,5,-52,-
95,95,6,-55,-
96,96,7,-58,-
97,97,8,-62,-
98,98,9,-64,-
99,99,10,-64,-
100,100,11,-64,-
101,101,-18,62,-
102,103,-17,63,-
104,104,-34,32,-
105,105,-35,30,-
106,106,-37,28,-
107,107,-40,26,-
108,108,-43,24,-
109,109,-45,23,-
110,110,-47,22,-
111,111,-49,21,-
112,112,-53,15,-
113,113,-57,9,-
114,114,-59,4,-
115,115,26,76,-
116,116,21,77,-
117,117,17,78,-
118,118,15,79,-
119,120,14,79,-
121,121,13,79,-
122,122,12,79,-
123,123,10,79,-
124,124,7,80,-
125,125,4,80,-
126,126,1,80,-
127,127,-3,80,-
128,128,-7,80,-
129,129,-12,79,-
130,130,-16,78,-
131,131,-20,77,-
132,132,-23,77,-
133,136,-3,-80,-
137,138,-2,-80,-
139,140,-1,-80,-
141,141,0,-80,-
142,142,2,-80,-
143,143,4,-80,-
144,144,6,-80,-
145,145,9,-79,-
146,146,12,-79,-
147,147,16,-78,-
148,148,20,-78,-
149,149,24,-76,-
150,150,29,-75,-
151,151,34,-73,-
152,152,39,-70,-
153,153,44,-67,-
154,154,49,-63,-
155,155,55,-58,-
156,156,56,-58,-
157,157,54,-59,-
158,158,50,-63,-
159,159,46,-65,-
160,160,42,-68,-
161,161,39,-70,-
162,162,35,-72,-
163,163,31,-74,-
164,164,28,-75,-
165,165,37,-71,-
166,166,45,-66,-
167,167,52,-60,-
168,168,59,-54,-
169,169,65,-47,-
170,170,69,-41,-
171,171,72,-35,-
172,172,74,-31,-
173,173,74,-30,-
174,174,75,-29,-
175,176,75,-28,-
177,177,75,-27,-
178,179,76,-26,-
180,180,76,-25,-
181,182,76,-24,-
183,184,77,-23,-
185,186,77,-22,-
187,188,77,-21,-
189,190,77,-20,-
191,191,78,-20,-
192,194,78,-19,-
195,195,78,-15,-
196,200,79,-14,-
201,214,79,-13,-
215,218,79,-14,-
219,228,77,-20,-
229,234,78,-20,-
235,241,78,-19,-
242,243,78,-18,-
244,245,78,-17,-
246,246,78,-16,-
247,247,79,-15,-
248,249,79,-14,-
250,250,79,-13,-
251,251,79,-12,-
252,252,79,-11,-
253,253,79,-10,-
254,254,80,-9,-
255,255,80,-8,-
256,256,80,-7,-
257,257,80,-6,-
258,258,80,-5,-
259,259,80,-4,-
260,260,80,-3,-
261,261,80,-2,-
262,262,80,-1,-
