name,start,end,word_count,sha256
sqrtf,80322b20,80322b28,2,b6734913923fe896811dcd9a80dc62ec436b4b9b440e7ba45c9f097eb8917e25
stop_sounds_from_source,803206f8,803207dc,57,77c9e9fda6a0410ccd3825e6ecd74ec79b07346f943e87fd812d3edc7e4acaa3
stop_sounds_in_bank,803207dc,80320890,45,4c1bd96f937f261c0f532813dcd63bc04d07da73e343e937c19a21d9844d1562
stop_sounds_in_continuous_banks,80320890,803208c0,12,3307057619a613852450254924d2217aeebe1368a62b12906b001e0767abf6b6
update_background_music_after_sound,8031e0e4,8031e16c,34,7aaf8ffba1b101b4aaaae5b8308a55db798220f7937ae234e4dab67b2354d2c7
begin_background_music_fade,803200e4,80320248,89,9e49f3d3edd3e2b48389ff5bb1279efda5c4b52c1ec951a03754dd571ed32363
fade_helper_restore,8031d7b0,8031d838,34,46be5870c218cbb9ac45a2ca5de08214eafe1addecd43fbe100b939791b19d31
fade_helper_to_zero,8031d838,8031d924,59,ee2241f197367ee0bdb3962c492184faec59f9b6eb8bdc088fa56226de410770
